2024-06-10T18:56:41.439Z [info] 'pechka' connection
2024-06-10T18:56:41.442Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.443Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.444Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.446Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.447Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.448Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.450Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.451Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.452Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.454Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.455Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.456Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.458Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.459Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.461Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.462Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.463Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.464Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.465Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.467Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.468Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.469Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.470Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.471Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.472Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.473Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.474Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.476Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.477Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.478Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.479Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.480Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.481Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.482Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.483Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.484Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.485Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.487Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.488Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.489Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.490Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.491Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.492Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.493Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.494Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.496Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.497Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.498Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.499Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.501Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.502Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.503Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.504Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.505Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.507Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.508Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.509Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.510Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.512Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.513Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.514Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.516Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.517Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.518Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.519Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.521Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.522Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.523Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.524Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.526Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.527Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.528Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.529Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.530Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.531Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.533Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.534Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.535Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.536Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.537Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.539Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.540Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.541Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.542Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.543Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.544Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.546Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.549Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.551Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.552Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.552Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.553Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.554Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.555Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.557Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.558Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.558Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.559Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.560Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.561Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.562Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.563Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.564Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.565Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.566Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.567Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.568Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.569Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.570Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.571Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.572Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.573Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.574Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.575Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.576Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.577Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.578Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.579Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.580Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.581Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.582Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.583Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.584Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.585Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.587Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.588Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.589Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.590Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.591Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.592Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.593Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.594Z [error] 'pechka' connection lost!
2024-06-10T18:56:41.596Z [error] 'pechka' connection lost!
